Name,Affinity
dds5_enamine24229,-7.147
psl_enamine5597,-7.159
dds5_enamine49894,-6.793
ab_enamine26307,-6.696
dds5_enamine993,-7.442
dds5_enamine48523,-6.285
dds5_enamine5003,-6.956
hinge_enamine23657,-7.309
ab_enamine9781,-8.462
dds1_enamine949,-6.773
dds5_enamine3070,-8.493
ab_enamine498,-6.971
dds5_enamine30723,-7.5
ab_enamine13186,-8.302
dds5_enamine16805,-7.851
dds5_enamine22637,-6.778
ab_enamine13039,-7.765
dds5_enamine5269,-7.086
fda_enamine676,-6.088
hinge_enamine14940,-7.287
dds5_enamine30561,-7.493
ab_enamine1762,-7.681
